Tree_ID,Branch_ID,Position,Fuit_Diam
3,L1,Low,12
3,L1,Low,13
3,L1,Low,13.9
3,L1,Low,10.3
3,L1,Low,12.7
3,L1,Low,11.7
3,L1,Low,12.6
3,L1,Low,13
3,L1,Low,10.7
3,L1,Low,12
3,L1,Low,11.3
3,L1,Low,13.5
3,L1,Low,8.6
3,L1,Low,8.8
3,L1,Low,12.5
3,L1,Low,9.6
3,L1,Low,12
3,L1,Low,12.6
3,L1,Low,13.3
3,L1,Low,12.3
5,L1,Low,8.6
5,L1,Low,8.55
5,L1,Low,8.37
5,L1,Low,8.89
5,L1,Low,9.29
5,L1,Low,8.53
5,L1,Low,9.55
5,L1,Low,9.14
5,L1,Low,8.5
5,L1,Low,8.74
5,L1,Low,9.72
5,L1,Low,7.1
5,L1,Low,10.4
5,L1,Low,8.2
5,L1,Low,6.98
5,L1,Low,8.92
5,L1,Low,8.06
5,L1,Low,9.33
5,L1,Low,6.88
5,L1,Low,8.44
5,L2,Low,7.3
5,L2,Low,6.81
5,L2,Low,6.9
5,L2,Low,8.39
5,L2,Low,8.61
5,L2,Low,10
5,L2,Low,8.9
5,L2,Low,10.58
5,L2,Low,9.25
5,L2,Low,8.68
5,L2,Low,8.76
5,L2,Low,8.9
5,L2,Low,7.69
5,L2,Low,7.7
5,L2,Low,8.46
5,L2,Low,7.13
5,L2,Low,7.44
5,L2,Low,8.92
5,L2,Low,9.73
5,L2,Low,8.86
5,L3,Low,8.55
5,L3,Low,8.49
5,L3,Low,7.91
5,L3,Low,8.14
5,L3,Low,7.96
5,L3,Low,10.06
5,L3,Low,10.16
5,L3,Low,8.34
5,L3,Low,8.88
5,L3,Low,9.1
5,L3,Low,8.14
5,L3,Low,8.78
5,L3,Low,8.18
5,L3,Low,8.92
5,L3,Low,8.44
5,L3,Low,10.26
5,L3,Low,8.57
5,L3,Low,7.33
5,L3,Low,8.38
5,L3,Low,8.44
5,H1,High,9.48
5,H1,High,8.58
5,H1,High,8.52
5,H1,High,6.85
5,H1,High,8.87
5,H1,High,8.83
5,H1,High,8.96
5,H1,High,8.19
5,H1,High,8.01
5,H1,High,8.11
5,H1,High,8.11
5,H1,High,7.93
5,H1,High,7.95
5,H1,High,8.53
5,H1,High,9.17
5,H1,High,8.99
5,H1,High,8.88
5,H1,High,9.45
5,H1,High,7.9
5,H1,High,7.94
5,H2,High,8.07
5,H2,High,7.6
5,H2,High,8.27
5,H2,High,8.54
5,H2,High,7.84
5,H2,High,8.7
5,H2,High,6.76
5,H2,High,8.68
5,H2,High,6.9
5,H2,High,8.74
5,H2,High,8.59
5,H2,High,7.81
5,H2,High,7.18
5,H2,High,7.62
5,H2,High,9.1
5,H2,High,7.45
5,H2,High,8.02
5,H2,High,8.01
5,H2,High,8.88
5,H2,High,9.14
5,H3,High,7.34
5,H3,High,8.53
5,H3,High,8.53
5,H3,High,8.51
5,H3,High,8.19
5,H3,High,8.52
5,H3,High,7.77
5,H3,High,8.2
5,H3,High,7.65
5,H3,High,7.82
5,H3,High,8.37
5,H3,High,7.94
5,H3,High,6.83
5,H3,High,7.97
5,H3,High,6.9
5,H3,High,7.05
5,H3,High,6.33
5,H3,High,8.34
5,H3,High,7.85
5,H3,High,7.92
6,L1,Low,7.08
6,L1,Low,8.7
6,L1,Low,8.3
6,L1,Low,8.88
6,L1,Low,8.66
6,L1,Low,6.87
6,L1,Low,8.17
6,L1,Low,8.37
6,L1,Low,8.73
6,L1,Low,8.18
6,L1,Low,8.76
6,L1,Low,9.11
6,L1,Low,9.75
6,L1,Low,9.79
6,L1,Low,9.87
6,L1,Low,10.44
6,L1,Low,10.12
6,L1,Low,8.76
6,L1,Low,7.97
6,L1,Low,9.47
6,L1,Low,9.67
6,L2,Low,7.73
6,L2,Low,6.61
6,L2,Low,7.5
6,L2,Low,7.62
6,L2,Low,6.85
6,L2,Low,6.65
6,L2,Low,8.03
6,L2,Low,8.51
6,L2,Low,8.06
6,L2,Low,7.74
6,L2,Low,7.67
6,L2,Low,6.43
6,L2,Low,6.36
6,L2,Low,7.72
6,L2,Low,7.98
6,L2,Low,7.35
6,L2,Low,7.65
6,L2,Low,7.19
6,L2,Low,7.67
6,L2,Low,7.6
4,L1,Low,13
4,L1,Low,13
4,L1,Low,14
4,L1,Low,12
4,L1,Low,13
4,L1,Low,11
4,L1,Low,11
4,L1,Low,12
4,L1,Low,11
4,L1,Low,12
4,L1,Low,12
4,L1,Low,11
4,L1,Low,12
4,L1,Low,12
4,L1,Low,13
4,L1,Low,12
4,L1,Low,11
4,L1,Low,11
4,L1,Low,12
4,L1,Low,12
4,L2,Low,12.65
4,L2,Low,11.25
4,L2,Low,11.5
4,L2,Low,11.96
4,L2,Low,12.6
4,L2,Low,11.97
4,L2,Low,11.41
4,L2,Low,10.34
4,L2,Low,12.77
4,L2,Low,10.22
4,L2,Low,10.97
4,L2,Low,12.39
4,L2,Low,9.38
4,L2,Low,10.61
4,L2,Low,9.9
4,L2,Low,11.65
4,L2,Low,10.43
4,L2,Low,10.61
4,L2,Low,9.29
4,L2,Low,10.73
4,L3,Low,9.54
4,L3,Low,11.35
4,L3,Low,11.45
4,L3,Low,11.36
4,L3,Low,12.29
4,L3,Low,12.33
4,L3,Low,10.8
4,L3,Low,11.74
4,L3,Low,11.44
4,L3,Low,11.77
4,L3,Low,12.27
4,L3,Low,12.52
4,L3,Low,11.05
4,L3,Low,10.95
4,L3,Low,11.3
4,L3,Low,12.4
4,L3,Low,9.51
4,L3,Low,12.19
4,L3,Low,11.95
4,L3,Low,10.8
4,H1,High,10.27
4,H1,High,11.29
4,H1,High,10.02
4,H1,High,10.76
4,H1,High,10.53
4,H1,High,10.16
4,H1,High,11.93
4,H1,High,11.9
4,H1,High,10.58
4,H1,High,12.3
4,H1,High,10.43
4,H1,High,11.62
4,H1,High,9.93
4,H1,High,9.97
4,H1,High,10.81
4,H1,High,10.95
4,H1,High,11.88
4,H1,High,11.83
4,H1,High,11.95
4,H1,High,12.17
4,H2,High,11.01
4,H2,High,11.88
4,H2,High,5.7
4,H2,High,6.33
4,H2,High,12.42
4,H2,High,12.61
4,H2,High,11.2
4,H2,High,11.8
4,H2,High,11.6
4,H2,High,11.2
4,H2,High,5.84
4,H2,High,11.68
4,H2,High,12.01
4,H2,High,11.31
4,H2,High,9.28
4,H2,High,13.07
4,H2,High,12.07
4,H2,High,13.11
4,H2,High,9.88
4,H2,High,8.75
4,H3,High,12.45
4,H3,High,10.27
4,H3,High,10.58
4,H3,High,9.89
4,H3,High,13.15
4,H3,High,12.14
4,H3,High,13.15
4,H3,High,11.52
4,H3,High,11.9
4,H3,High,12.12
4,H3,High,12.13
4,H3,High,12.29
4,H3,High,13.35
4,H3,High,12.39
4,H3,High,11.82
4,H3,High,11.82
4,H3,High,10.78
4,H3,High,11.6
4,H3,High,13.05
4,H3,High,11.4
3,L2,Low,11.8
3,L2,Low,12.2
3,L2,Low,13
3,L2,Low,12.3
3,L2,Low,11.4
3,L2,Low,11
3,L2,Low,11.4
3,L2,Low,11.4
3,L2,Low,12.8
3,L2,Low,10.3
3,L2,Low,12.4
3,L2,Low,11.7
3,L2,Low,12.3
3,L2,Low,11.6
3,L2,Low,11.2
3,L2,Low,9
3,L2,Low,13
3,L2,Low,12.3
3,L2,Low,9.3
3,L2,Low,12.9
3,L3,Low,11.4
3,L3,Low,13.6
3,L3,Low,11.3
3,L3,Low,10.3
3,L3,Low,11.4
3,L3,Low,11.9
3,L3,Low,13
3,L3,Low,12
3,L3,Low,11.2
3,L3,Low,10.5
3,L3,Low,11.1
3,L3,Low,11.9
3,L3,Low,10.9
3,L3,Low,11.3
3,L3,Low,11.7
3,L3,Low,11.5
3,L3,Low,11.8
3,L3,Low,10.5
3,L3,Low,11.9
3,L3,Low,11.4
6,H1,High,7
6,H1,High,11
6,H1,High,5
6,H1,High,8
6,H1,High,6
6,H1,High,5
6,H1,High,5
6,H1,High,6
6,H1,High,6
6,H1,High,6
6,H1,High,7
6,H1,High,7
6,H1,High,7
6,H1,High,7
6,H1,High,7
6,H1,High,7
6,H1,High,8
6,H1,High,7
6,H1,High,5
6,H1,High,6
6,H1,High,7
6,H1,High,7
6,H2,High,8
6,H2,High,8
6,H2,High,9
6,H2,High,7
6,H2,High,10
6,H2,High,9
6,H2,High,8
6,H2,High,9
6,H2,High,7
6,H2,High,8
6,H2,High,8
6,H2,High,9
6,H2,High,8
6,H2,High,8
6,H2,High,8
6,H2,High,8
6,H2,High,8
6,H2,High,9
6,H2,High,8
6,H2,High,9
6,H2,High,9
3,H3,High,11.52
3,H3,High,12.17
3,H3,High,9.99
3,H3,High,11.86
3,H3,High,13.88
3,H3,High,12.23
3,H3,High,12.04
3,H3,High,12.35
3,H3,High,12.95
3,H3,High,11.12
3,H3,High,12.49
3,H3,High,12.82
3,H3,High,12.73
3,H3,High,12.76
3,H3,High,13.69
3,H3,High,12.72
3,H3,High,9.33
3,H3,High,13.27
3,H3,High,5.61
3,H1,High,11.77
3,H1,High,8.35
3,H1,High,11.32
3,H1,High,12.35
3,H1,High,8.87
3,H1,High,10.31
3,H1,High,10.41
3,H1,High,9.82
3,H1,High,12.8
3,H1,High,13.2
3,H1,High,11.44
3,H1,High,13.15
3,H1,High,9.46
3,H1,High,11.79
3,H1,High,10.28
3,H1,High,8.63
3,H1,High,8.59
3,H1,High,14.18
3,H1,High,12.31
3,H1,High,8.96
3,H2,High,12.37
3,H2,High,11.05
3,H2,High,11.08
3,H2,High,9.61
3,H2,High,10.32
3,H2,High,11.59
3,H2,High,7.82
3,H2,High,11.46
3,H2,High,5.64
3,H2,High,11.61
3,H2,High,11.69
3,H2,High,12.2
3,H2,High,11.06
3,H2,High,11.43
3,H2,High,12.03
3,H2,High,12.18
3,H2,High,13.94
3,H2,High,11.43
3,H2,High,12.28
3,H2,High,11.29
1,L1,Low,10
1,L1,Low,9
1,L1,Low,9
1,L1,Low,6
1,L1,Low,8
1,L1,Low,8
1,L1,Low,9
1,L1,Low,9
1,L1,Low,10
1,L1,Low,8
1,L1,Low,4
1,L1,Low,8
1,L1,Low,6
1,L1,Low,5
1,L1,Low,7
1,L1,Low,11
1,L1,Low,5
1,L1,Low,6
1,L1,Low,10
1,L1,Low,10
1,L2,Low,6
1,L2,Low,6
1,L2,Low,6
1,L2,Low,5
1,L2,Low,6
1,L2,Low,7
1,L2,Low,7
1,L2,Low,5
1,L2,Low,4
1,L2,Low,7
1,L2,Low,6
1,L2,Low,5
1,L2,Low,5
1,L2,Low,8
1,L2,Low,7
1,L2,Low,6
1,L2,Low,7
1,L2,Low,4
1,L2,Low,7
1,L2,Low,8
1,L3,Low,5
1,L3,Low,7
1,L3,Low,6
1,L3,Low,4
1,L3,Low,7
1,L3,Low,6
1,L3,Low,8
1,L3,Low,9
1,L3,Low,8
1,L3,Low,7
1,L3,Low,9
1,L3,Low,10
1,L3,Low,7
1,L3,Low,6
1,L3,Low,5
1,L3,Low,5
1,L3,Low,7
1,L3,Low,10
1,L3,Low,9
1,L3,Low,6.5
2,H1,High,8
2,H1,High,9
2,H1,High,8
2,H1,High,10
2,H1,High,8
2,H1,High,9
2,H1,High,8
2,H1,High,10
2,H1,High,7
2,H1,High,9
2,H1,High,9
2,H1,High,8
2,H1,High,7
2,H1,High,10
2,H1,High,11
2,H1,High,7
2,H1,High,9
2,H1,High,8
2,H1,High,8
2,H1,High,8
2,H2,Low,9
2,H2,Low,8
2,H2,Low,9
2,H2,Low,7
2,H2,Low,5
2,H2,Low,7
2,H2,Low,8
2,H2,Low,8
2,H2,Low,10
2,H2,Low,9
2,H2,Low,10
2,H2,Low,9
2,H2,Low,12
2,H2,Low,7
2,H2,Low,9
2,H2,Low,8
2,H2,Low,9
2,H2,Low,10
2,H2,Low,10
2,H2,Low,11
2,H3,Low,10
2,H3,Low,10
2,H3,Low,9
2,H3,Low,5
2,H3,Low,9
2,H3,Low,9
2,H3,Low,10
2,H3,Low,11
2,H3,Low,10
2,H3,Low,10
2,H3,Low,11
2,H3,Low,6
2,H3,Low,11
2,H3,Low,8
2,H3,Low,9
2,H3,Low,11
2,H3,Low,9
2,H3,Low,10
2,H3,Low,10
2,H3,Low,9
2,H2,High,7
2,H2,High,8
2,H2,High,7
2,H2,High,6
2,H2,High,10
2,H2,High,9
2,H2,High,8
2,H2,High,9
2,H2,High,9
2,H2,High,9
2,H2,High,10
2,H2,High,9
2,H2,High,9
2,H2,High,5
2,H2,High,9
2,H2,High,10
2,H2,High,7
2,H2,High,8
2,H2,High,9
2,H2,High,8
6,H3,High,9
6,H3,High,9
6,H3,High,10
6,H3,High,9
6,H3,High,9
6,H3,High,9
6,H3,High,8
6,H3,High,8
6,H3,High,8
6,H3,High,9
6,H3,High,9
6,H3,High,9
6,H3,High,9
6,H3,High,9
6,H3,High,9
6,H3,High,9
6,H3,High,9
6,H3,High,9
6,H3,High,9
6,H3,High,8
6,H3,High,9
6,L3,Low,9.64
6,L3,Low,9.54
6,L3,Low,7.87
6,L3,Low,10.11
6,L3,Low,7.56
6,L3,Low,9.61
6,L3,Low,9.24
6,L3,Low,8.59
6,L3,Low,7.74
6,L3,Low,8.17
6,L3,Low,7.75
6,L3,Low,5.88
6,L3,Low,7.29
6,L3,Low,7.09
6,L3,Low,6.29
6,L3,Low,8.06
6,L3,Low,8.66
6,L3,Low,9.07
6,L3,Low,8.29
6,L3,Low,8.98
2,H3,High,9
2,H3,High,10
2,H3,High,9
2,H3,High,6
2,H3,High,9
2,H3,High,10
2,H3,High,8
2,H3,High,5
2,H3,High,7
2,H3,High,9
2,H3,High,10
2,H3,High,9
2,H3,High,8
2,H3,High,7
2,H3,High,6
2,H3,High,9
2,H3,High,10
2,H3,High,9
2,H3,High,8
2,H3,High,8
2,H1,Low,10
2,H1,Low,9
2,H1,Low,7
2,H1,Low,9
2,H1,Low,7
2,H1,Low,8
2,H1,Low,6
2,H1,Low,11
2,H1,Low,9
2,H1,Low,8
2,H1,Low,10
2,H1,Low,9
2,H1,Low,10
2,H1,Low,9
2,H1,Low,9
2,H1,Low,10
2,H1,Low,8
2,H1,Low,9
2,H1,Low,6
2,H1,Low,9
1,H1,High,7
1,H1,High,11
1,H1,High,10
1,H1,High,9
1,H1,High,10
1,H1,High,7
1,H1,High,7
1,H1,High,9
1,H1,High,6
1,H1,High,9
1,H1,High,8
1,H1,High,7
1,H1,High,6
1,H1,High,6
1,H1,High,8
1,H1,High,7
1,H1,High,9
1,H1,High,8
1,H1,High,10
1,H1,High,7
1,H2,High,7
1,H2,High,7
1,H2,High,10
1,H2,High,6
1,H2,High,11
1,H2,High,5
1,H2,High,10
1,H2,High,7
1,H2,High,5
1,H2,High,6
1,H2,High,5
1,H2,High,6
1,H2,High,9
1,H2,High,10
1,H2,High,7
1,H2,High,7
1,H2,High,9
1,H2,High,8
1,H2,High,7
1,H2,High,6
1,H3,High,10
1,H3,High,6
1,H3,High,5
1,H3,High,5
1,H3,High,6
1,H3,High,7
1,H3,High,8
1,H3,High,6
1,H3,High,10
1,H3,High,6
1,H3,High,7
1,H3,High,7
1,H3,High,8
1,H3,High,6
1,H3,High,5
1,H3,High,10
1,H3,High,7
1,H3,High,8
1,H3,High,7
1,H3,High,8
7,L1,Low,10
7,L1,Low,10.09
7,L1,Low,9
7,L1,Low,9
7,L1,Low,7
7,L1,Low,9
7,L1,Low,9
7,L1,Low,8
7,L1,Low,9
7,L1,Low,8
7,L1,Low,9
7,L1,Low,6
7,L1,Low,10
7,L1,Low,9
7,L1,Low,8
7,L1,Low,8
7,L1,Low,10
7,L1,Low,10
7,L1,Low,9
7,L1,Low,10
7,L1,Low,9
7,L2,Low,9
7,L2,Low,11
7,L2,Low,10
7,L2,Low,10
7,L2,Low,9
7,L2,Low,9
7,L2,Low,10
7,L2,Low,
7,L2,Low,7
7,L2,Low,10
7,L2,Low,11
7,L2,Low,11
7,L2,Low,11
7,L2,Low,10
7,L2,Low,10
7,L2,Low,9
7,L2,Low,9
7,L2,Low,11
7,L2,Low,10
7,L2,Low,10
7,L3,Low,8
7,L3,Low,10
7,L3,Low,9
7,L3,Low,10
7,L3,Low,11
7,L3,Low,9
7,L3,Low,9
7,L3,Low,8
7,L3,Low,9
7,L3,Low,9
7,L3,Low,10
7,L3,Low,7
7,L3,Low,9
7,L3,Low,9
7,L3,Low,8
7,L3,Low,10
7,L3,Low,10
7,L3,Low,9
7,L3,Low,8
7,L3,Low,10
7,H1,High,8
7,H1,High,9
7,H1,High,7
7,H1,High,9
7,H1,High,7
7,H1,High,10
7,H1,High,9
7,H1,High,8
7,H1,High,7
7,H1,High,9
7,H1,High,10
7,H1,High,9
7,H1,High,8
7,H1,High,9
7,H1,High,7
7,H1,High,9
7,H1,High,7
7,H1,High,10
7,H1,High,7
7,H1,High,10
7,H2,High,7
7,H2,High,8
7,H2,High,9
7,H2,High,9
7,H2,High,8
7,H2,High,8
7,H2,High,9
7,H2,High,8
7,H2,High,7
7,H2,High,10
7,H2,High,8
7,H2,High,9
7,H2,High,7
7,H2,High,10
7,H2,High,9
7,H2,High,9
7,H2,High,10
7,H2,High,8
7,H2,High,9
7,H2,High,9
7,H3,High,11
7,H3,High,11
7,H3,High,10
7,H3,High,8
7,H3,High,11
7,H3,High,10
7,H3,High,7
7,H3,High,11
7,H3,High,9
7,H3,High,8
7,H3,High,10
7,H3,High,11
7,H3,High,10
7,H3,High,7
7,H3,High,9
7,H3,High,9
7,H3,High,10
7,H3,High,9
7,H3,High,8
7,H3,High,9
