Sample.Label,Area,distance,Observer,type_animal,pred_herb
forest,1000000,0.407,Marisa,dino,pred
forest,1000000,1.549,Marisa,dino,pred
forest,1000000,1.549,Marisa,mammal,herb
forest,1000000,0.384,Marisa,dino,herb
forest,1000000,0.375,Marisa,dino,pred
forest,1000000,0.122,Marisa,dino,herb
forest,1000000,2.336,Marisa,dino,pred
forest,1000000,0.5,Helen,dino,pred
forest,1000000,1.45,Helen,mammal,pred
forest,1000000,0.4,Helen,dino,pred
forest,1000000,0.4,Helen,dino,pred
forest,1000000,2.25,Helen,dino,pred
forest,1000000,0.15,Helen,dino,pred
forest,1000000,0.18,JP,mammal,pred
forest,1000000,1.051,JP,dino,pred
forest,1000000,1.181,JP,mammal,pred
forest,1000000,0.502,JP,dino,herb
forest,1000000,0.448,JP,dino,herb
forest,1000000,0.487,Ben,dino,pred
forest,1000000,1.564,Ben,mammal,pred
forest,1000000,1.564,Ben,dino,pred
forest,1000000,0.203,Ben,dino,pred
forest,1000000,0.257,Ben,dino,pred
forest,1000000,0.467,Ben,dino,pred
forest,1000000,0.471,Ben,dino,pred
forest,1000000,1.447,Ben,dino,pred
forest,1000000,1.391,Ben,mammal,herb
forest,1000000,0.28,dave,dino,pred
forest,1000000,1.571,dave,dino,pred
forest,1000000,1.571,dave,mammal,pred
forest,1000000,0.09,dave,dino,pred
forest,1000000,0.09,dave,dino,herb
forest,1000000,0.349,dave,dino,herb
forest,1000000,1.297,dave,mammal,herb
forest,1000000,2.034,dave,dino,pred
forest,1000000,0.0363,dave,dino,pred
forest,1000000,0.327,Miranda,dino,pred
forest,1000000,0.189,Miranda,mammal,pred
forest,1000000,1.209,Miranda,mammal,pred
forest,1000000,1.209,Miranda,mammal,pred
forest,1000000,0.207,Miranda,dino,herb
forest,1000000,0.252,Miranda,dino,pred
forest,1000000,0.498,Miranda,dino,pred
forest,1000000,0.375,Miranda,dino,pred
forest,1000000,2.154,Miranda,dino,pred
forest,1000000,1.009,Miranda,dino,herb
forest,1000000,0.252,JT,dino,herb
forest,1000000,0.45,JT,dino,pred
forest,1000000,1.553,JT,dino,pred
forest,1000000,1.571,JT,mammal,pred
forest,1000000,0.45,JT,dino,pred
forest,1000000,1.333,JT,mammal,herb
forest,1000000,0.635,JT,dino,herb
forest,1000000,0.312,JT,dino,herb
forest,1000000,0.359,Kenz,dino,pred
forest,1000000,1.633,Kenz,dino,pred
forest,1000000,1.622,Kenz,mammal,pred
forest,1000000,0.239,Kenz,dino,pred
forest,1000000,0.25,Kenz,dino,herb
forest,1000000,0.426,Kenz,dino,herb
forest,1000000,1.363,Kenz,mammal,herb
forest,1000000,0.423,Kenz,dino,herb
forest,1000000,0.304,Devon,dino,pred
forest,1000000,1.51,Devon,dino,pred
forest,1000000,1.51,Devon,mammal,pred
forest,1000000,0.188,Devon,dino,herb
forest,1000000,0.355,Devon,dino,herb
forest,1000000,0.36,Devon,dino,herb
forest,1000000,0.188,Devon,dino,pred
forest,1000000,0.04,Devon,mammal,pred
forest,1000000,4.11,Saba,dino,herb
forest,1000000,0.224,Saba,mammal,pred
forest,1000000,1.733,Saba,mammal,pred
forest,1000000,0.269,Saba,dino,pred
forest,1000000,0.357,Saba,dino,herb
forest,1000000,0.485,Saba,dino,herb
forest,1000000,0.451,Saba,dino,pred
forest,1000000,1.733,Saba,dino,herb