Sample_Label,distance,Area,Effort,Habitat
F3,0.09,80000,20,Forest
F3,0.2,80000,20,Forest
F8,0.35,80000,20,Forest
F2,0.4,80000,20,Forest
F6,0.43,80000,20,Forest
F5,0.47,80000,20,Forest
F4,0.5,80000,20,Forest
F8,0.5,80000,20,Forest
F2,0.7,80000,20,Forest
F5,0.95,80000,20,Forest
F6,0.95,80000,20,Forest
F8,0.97,80000,20,Forest
F9,1.05,80000,20,Forest
F7,1.1,80000,20,Forest
F1,1.18,80000,20,Forest
F4,1.7,80000,20,Forest
F6,1.9,80000,20,Forest
F8,2.15,80000,20,Forest
S2,3,80000,20,Savannah
S4,3,80000,20,Savannah
S7,3.05,80000,20,Savannah
S3,3.1,80000,20,Savannah
S8,3.15,80000,20,Savannah
S7,3.15,80000,20,Savannah
S6,3.2,80000,20,Savannah
S1,3.21,80000,20,Savannah
S5,3.3,80000,20,Savannah
S8,3.4,80000,20,Savannah
S8,3.6,80000,20,Savannah
S9,3.74,80000,20,Savannah
S6,3.8,80000,20,Savannah
S2,4,80000,20,Savannah
S4,4,80000,20,Savannah
S9,4.47,80000,20,Savannah
S9,4.55,80000,20,Savannah
S4,5,80000,20,Savannah
S4,5,80000,20,Savannah
S8,5.45,80000,20,Savannah
S2,5.5,80000,20,Savannah
S7,5.67,80000,20,Savannah
S9,5.9,80000,20,Savannah
S1,6.38,80000,20,Savannah
S9,6.65,80000,20,Savannah
S9,6.85,80000,20,Savannah
S6,6.9,80000,20,Savannah
S4,7,80000,20,Savannah
S3,7.15,80000,20,Savannah
S7,7.2,80000,20,Savannah
S7,7.5,80000,20,Savannah
S5,7.7,80000,20,Savannah
S6,8.3,80000,20,Savannah
S1,9.32,80000,20,Savannah
S3,9.4,80000,20,Savannah
S5,9.7,80000,20,Savannah