samples,Isopods,Amphipods,fly.larvae,mayfly,stonefly,caddisfly,dobsonfly,snails,planarian,beetle,mites,ostracod
M1,54,17,0,0,0,0,0,0,1,1,0,0
M2,44,14,0,0,0,0,0,0,0,2,0,0
M3,73,5,0,0,0,1,0,20,0,0,0,0
M4,22,10,2,3,1,41,0,4,1,6,0,0
M5,36,2,0,1,0,10,0,6,1,0,0,0
M6,128,24,0,3,0,4,0,52,0,0,0,0
M7,100,6,5,0,3,4,0,9,0,0,0,0
M8,50,3,3,0,0,2,0,20,0,0,0,0
S1,1,0,1,2,0,0,0,0,0,1,0,3
S2,9,6,0,0,0,0,0,0,0,0,0,1
S3,2,0,6,0,0,0,0,0,0,0,0,0
S4,0,0,0,0,0,0,0,1,0,0,0,0
S5,3,1,1,0,0,0,0,0,0,0,0,0
S6,4,3,0,0,0,0,0,0,0,0,0,0
S7,8,0,2,0,0,0,1,0,0,0,0,0
S8,6,2,0,0,0,0,0,5,0,0,0,0